地区	指标	地区名	指标名	2009	2010	2011	2012	2013	2014	2015	2016	2017
510000	A070609	四川省	电力消费量	1324.61	1549.03	1751.4395	1830.7	1949.0	2014.79	1992.401	2101.0239	2205.1786
510000	A070701	四川省	单位地区生产总值能耗(等价值)	1.338	1.275	0.997	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
510000	A070702	四川省	单位地区生产总值能耗(等价值)_同比增长	-5.83	na_rep	-4.23	na_rep	na_rep	na_rep	-7.25	na_rep	na_rep
510000	A070703	四川省	单位工业增加值能耗(规模以上当量值)	2.249	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
510000	A070704	四川省	单位工业增加值能耗(规模以上当量值)_同比增长	-9.18	na_rep	-7.78	na_rep	na_rep	na_rep	-12.05	na_rep	na_rep
510000	A070705	四川省	单位地区生产总值电耗(等价值)	1085.91	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
510000	A070706	四川省	单位地区生产总值电耗(等价值)_同比增长	-4.66	na_rep	-1.87	na_rep	na_rep	na_rep	-8.35	na_rep	na_rep
520000	A070609	贵州省	电力消费量	750.3007	835.38	944.1312	1046.7	1126.3	1173.74	1174.20671289	1241.7834679999999	1384.8851
520000	A070701	贵州省	单位地区生产总值能耗(等价值)	2.3480000000000003	2.248	1.714	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
520000	A070702	贵州省	单位地区生产总值能耗(等价值)_同比增长	-4.12	na_rep	-3.51	na_rep	na_rep	na_rep	-7.46	na_rep	na_rep
520000	A070703	贵州省	单位工业增加值能耗(规模以上当量值)	4.32	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
520000	A070704	贵州省	单位工业增加值能耗(规模以上当量值)_同比增长	-0.03	na_rep	-8.02	na_rep	na_rep	na_rep	-10.84	na_rep	na_rep
520000	A070705	贵州省	单位地区生产总值电耗(等价值)	2328.02	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
520000	A070706	贵州省	单位地区生产总值电耗(等价值)_同比增长	-0.83	na_rep	-1.7	na_rep	na_rep	na_rep	-9.66	na_rep	na_rep
530000	A070609	云南省	电力消费量	891.1902	1004.07	1204.0714	1315.9	1459.8	1529.38	1438.607231	1410.5204019999999	1538.1041
530000	A070701	云南省	单位地区生产总值能耗(等价值)	1.495	1.4380000000000002	1.162	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
530000	A070702	云南省	单位地区生产总值能耗(等价值)_同比增长	-4.6	na_rep	-3.22	na_rep	na_rep	na_rep	-8.83	na_rep	na_rep
530000	A070703	云南省	单位工业增加值能耗(规模以上当量值)	2.739	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
530000	A070704	云南省	单位工业增加值能耗(规模以上当量值)_同比增长	-3.78	na_rep	-9.92	na_rep	na_rep	na_rep	-16.84	na_rep	na_rep
530000	A070705	云南省	单位地区生产总值电耗(等价值)	1591.1	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
530000	A070706	云南省	单位地区生产总值电耗(等价值)_同比增长	-4.16	na_rep	5.47	na_rep	na_rep	na_rep	-13.43	na_rep	na_rep
540000	A070609	西藏自治区	电力消费量	17.6987	20.41	23.7659	27.8	30.7	33.98	40.5334	49.2205	58.1888
540000	A070701	西藏自治区	单位地区生产总值能耗(等价值)	na_rep	1.276	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
610000	A070609	陕西省	电力消费量	740.1138	859.22	982.4682	1066.7	1152.2	1226.01	1221.72923541	1357.06078	1494.7498
610000	A070701	陕西省	单位地区生产总值能耗(等价值)	1.172	1.129	0.846	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
610000	A070702	陕西省	单位地区生产总值能耗(等价值)_同比增长	-4.56	na_rep	-3.56	na_rep	na_rep	na_rep	-3.21	na_rep	na_rep
610000	A070703	陕西省	单位工业增加值能耗(规模以上当量值)	1.367	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
